"Date(UTC)","UnixTimeStamp","Value"
"9/4/2016","1472947200","48128"
"9/5/2016","1473033600","42667"
"9/6/2016","1473120000","49102"
"9/7/2016","1473206400","48701"
"9/8/2016","1473292800","55970"
"9/9/2016","1473379200","53918"
"9/10/2016","1473465600","42875"
"9/11/2016","1473552000","43345"
"9/12/2016","1473638400","45123"
"9/13/2016","1473724800","42591"
"9/14/2016","1473811200","53859"
"9/15/2016","1473897600","52622"
"9/16/2016","1473984000","57532"
"9/17/2016","1474070400","46882"
"9/18/2016","1474156800","37893"
"9/19/2016","1474243200","40505"
"9/20/2016","1474329600","54067"
"9/21/2016","1474416000","44549"
"9/22/2016","1474502400","52657"
"9/23/2016","1474588800","35219"
"9/24/2016","1474675200","43418"
"9/25/2016","1474761600","38713"
"9/26/2016","1474848000","43514"
"9/27/2016","1474934400","46817"
"9/28/2016","1475020800","42797"
"9/29/2016","1475107200","40416"
"9/30/2016","1475193600","35836"
"10/1/2016","1475280000","53076"
"10/2/2016","1475366400","51105"
"10/3/2016","1475452800","47672"
"10/4/2016","1475539200","56662"
"10/5/2016","1475625600","41719"
"10/6/2016","1475712000","36826"
"10/7/2016","1475798400","43708"
"10/8/2016","1475884800","37690"
"10/9/2016","1475971200","43940"
"10/10/2016","1476057600","44940"
"10/11/2016","1476144000","41053"
"10/12/2016","1476230400","30002"
"10/13/2016","1476316800","32244"
"10/14/2016","1476403200","42006"
"10/15/2016","1476489600","33662"
"10/16/2016","1476576000","34990"
"10/17/2016","1476662400","38136"
"10/18/2016","1476748800","51898"
"10/19/2016","1476835200","38497"
"10/20/2016","1476921600","43438"
"10/21/2016","1477008000","57780"
"10/22/2016","1477094400","37772"
"10/23/2016","1477180800","35364"
"10/24/2016","1477267200","52547"
"10/25/2016","1477353600","47610"
"10/26/2016","1477440000","45158"
"10/27/2016","1477526400","44353"
"10/28/2016","1477612800","41522"
"10/29/2016","1477699200","40011"
"10/30/2016","1477785600","39435"
"10/31/2016","1477872000","45031"
"11/1/2016","1477958400","49025"
"11/2/2016","1478044800","43519"
"11/3/2016","1478131200","42346"
"11/4/2016","1478217600","32572"
"11/5/2016","1478304000","37690"
"11/6/2016","1478390400","34391"
"11/7/2016","1478476800","41941"
"11/8/2016","1478563200","41569"
"11/9/2016","1478649600","40517"
"11/10/2016","1478736000","40164"
"11/11/2016","1478822400","41070"
"11/12/2016","1478908800","40882"
"11/13/2016","1478995200","43673"
"11/14/2016","1479081600","43876"
"11/15/2016","1479168000","45330"
"11/16/2016","1479254400","41684"
"11/17/2016","1479340800","40738"
"11/18/2016","1479427200","43785"
"11/19/2016","1479513600","39289"
"11/20/2016","1479600000","42125"
"11/21/2016","1479686400","42735"
"11/22/2016","1479772800","53585"
"11/23/2016","1479859200","64289"
"11/24/2016","1479945600","36861"
"11/25/2016","1480032000","58075"
"11/26/2016","1480118400","40804"
"11/27/2016","1480204800","44449"
"11/28/2016","1480291200","48388"
"11/29/2016","1480377600","47036"
"11/30/2016","1480464000","39178"
"12/1/2016","1480550400","37121"
"12/2/2016","1480636800","41642"
"12/3/2016","1480723200","41357"
"12/4/2016","1480809600","39643"
"12/5/2016","1480896000","41613"
"12/6/2016","1480982400","48200"
"12/7/2016","1481068800","41757"
"12/8/2016","1481155200","39587"
"12/9/2016","1481241600","41444"
"12/10/2016","1481328000","40564"
"12/11/2016","1481414400","39164"
"12/12/2016","1481500800","38741"
"12/13/2016","1481587200","44664"
"12/14/2016","1481673600","47294"
"12/15/2016","1481760000","46102"
"12/16/2016","1481846400","43953"
"12/17/2016","1481932800","39442"
