Date,Open,High,Low,Close,Adj Close,Volume
2020-10-28,0.043137,0.043584,0.038558,0.039981,0.039981,554284
2020-10-29,0.039979,0.042705,0.039812,0.040044,0.040044,169106
2020-10-30,0.040040,0.040748,0.035874,0.040550,0.040550,446245
2020-10-31,0.040550,0.041474,0.038471,0.038659,0.038659,325286
2020-11-01,0.038659,0.039951,0.037536,0.039535,0.039535,278609
2020-11-02,0.039535,0.042367,0.037723,0.037995,0.037995,268541
2020-11-03,0.037995,0.038895,0.036681,0.037811,0.037811,587638
2020-11-04,0.037812,0.038388,0.036007,0.036993,0.036993,379780
2020-11-05,0.036993,0.038667,0.035232,0.038606,0.038606,589062
2020-11-06,0.038606,0.042113,0.038199,0.040684,0.040684,1019407
2020-11-07,0.040713,0.045289,0.035965,0.037344,0.037344,986260
2020-11-08,0.037314,0.041093,0.036985,0.040018,0.040018,336692
2020-11-09,0.040005,0.042490,0.037875,0.041754,0.041754,628728
2020-11-10,0.041747,0.048231,0.041105,0.046512,0.046512,1471451
2020-11-11,0.046510,0.056650,0.043764,0.043786,0.043786,1434722
2020-11-12,0.043782,0.059562,0.043271,0.057448,0.057448,429151
2020-11-13,0.057449,0.058599,0.050865,0.057989,0.057989,1370524
2020-11-14,0.057989,0.057989,0.050591,0.051877,0.051877,1113121
2020-11-15,0.051878,0.055534,0.048414,0.049628,0.049628,1347095
2020-11-16,0.049628,0.053306,0.047928,0.051571,0.051571,814494
2020-11-17,0.056401,0.063967,0.054423,0.058649,0.058649,2933579
2020-11-18,0.058651,0.083053,0.057953,0.075829,0.075829,7164522
2020-11-19,0.075836,0.085322,0.068767,0.069541,0.069541,3556691
2020-11-20,0.069539,0.082556,0.068839,0.073858,0.073858,683792
2020-11-21,0.073857,0.088851,0.072376,0.084516,0.084516,1955478
2020-11-22,0.084518,0.084536,0.070516,0.077896,0.077896,1491059
2020-11-23,0.077891,0.081479,0.073341,0.077626,0.077626,1033663
2020-11-24,0.077664,0.090633,0.077639,0.088886,0.088886,2605091
2020-11-25,0.089083,0.101478,0.082954,0.090044,0.090044,6971801
2020-11-26,0.090039,0.093302,0.072230,0.077143,0.077143,4993099
2020-11-27,0.077146,0.083950,0.073078,0.083161,0.083161,2332966
2020-11-28,0.083015,0.102829,0.081857,0.093500,0.093500,5190550
2020-11-29,0.093498,0.100860,0.089264,0.097528,0.097528,2616390
2020-11-30,0.097652,0.104024,0.094167,0.096645,0.096645,3508456
2020-12-01,0.096548,0.100902,0.085918,0.086241,0.086241,3303608
2020-12-02,0.086118,0.095478,0.078935,0.080016,0.080016,3783317
2020-12-03,0.080003,0.081919,0.073348,0.074916,0.074916,2633240
2020-12-04,0.074685,0.075150,0.066303,0.066951,0.066951,1941320
2020-12-05,0.066824,0.076196,0.066435,0.074183,0.074183,2243465
2020-12-06,0.074205,0.074955,0.068336,0.068556,0.068556,1989004
2020-12-07,0.068661,0.070789,0.067957,0.069224,0.069224,1506259
2020-12-08,0.069104,0.069712,0.060883,0.061585,0.061585,1322988
2020-12-09,0.061573,0.063135,0.055847,0.061922,0.061922,2070505
2020-12-10,0.061921,0.068843,0.060079,0.060265,0.060265,1383304
2020-12-11,0.060267,0.060436,0.055171,0.056900,0.056900,1766106
2020-12-12,0.057103,0.063361,0.056897,0.061560,0.061560,2079365
2020-12-13,0.061555,0.064826,0.061082,0.062247,0.062247,1411173
2020-12-14,0.062251,0.065839,0.061762,0.065373,0.065373,1392576
2020-12-15,0.065579,0.066205,0.062764,0.062919,0.062919,263572
